,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
23199,2020-06-30T00:00:00.000,SC,37568,37400.0,168.0,1982.0,12.0,803,,,17.0,1.0,2021-03-24T13:33:43.058,Agree,Not agree
23200,2021-03-13T00:00:00.000,AL,503305,394421.0,108884.0,594.0,200.0,10327,8118.0,2209.0,28.0,5.0,2021-03-14T13:53:25.106,Agree,Agree
23201,2020-03-07T00:00:00.000,VT,0,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Not agree,Not agree
23202,2020-04-20T00:00:00.000,VI,54,,,1.0,,3,,,0.0,,2020-04-20T16:22:39.452,,
23203,2020-04-18T00:00:00.000,WY,423,310.0,113.0,11.0,6.0,2,2.0,0.0,0.0,0.0,2020-04-18T16:22:39.452,Agree,Agree
23204,2020-05-29T00:00:00.000,RI,14635,,,141.0,0.0,693,,,16.0,0.0,2020-05-30T15:47:59.813,Not agree,
23205,2020-10-15T00:00:00.000,ID,50610,45223.0,5387.0,718.0,146.0,517,476.0,41.0,1.0,0.0,2020-10-16T13:33:55.808,Agree,Agree
23206,2020-10-18T00:00:00.000,DE,23196,22098.0,1098.0,254.0,5.0,666,585.0,81.0,2.0,0.0,2020-10-19T14:06:44.391,Agree,Agree
23207,2020-07-20T00:00:00.000,CA,391538,,,6846.0,0.0,7694,,,9.0,0.0,2020-07-21T14:50:17.717,Not agree,Not agree
23208,2021-02-08T00:00:00.000,WY,52784,45047.0,7737.0,157.0,7.0,624,624.0,0.0,0.0,0.0,2021-02-09T15:24:29.092,Agree,Agree
23209,2020-03-06T00:00:00.000,MT,0,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
23210,2020-10-06T00:00:00.000,OR,35340,33620.0,1720.0,291.0,0.0,581,566.0,15.0,9.0,0.0,2020-10-07T13:45:01.309,Agree,Agree
23211,2020-09-05T00:00:00.000,DE,18043,17053.0,990.0,151.0,0.0,609,537.0,72.0,1.0,0.0,2020-09-06T14:09:04.355,Agree,Agree
23212,2020-01-28T00:00:00.000,MS,0,,,0.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Agree
23213,2021-03-23T00:00:00.000,NV,301481,,,147.0,0.0,5188,,,14.0,0.0,2021-03-24T14:16:52.349,,
23214,2020-06-17T00:00:00.000,NC,46860,46855.0,5.0,1002.0,0.0,1168,1168.0,0.0,14.0,0.0,2021-02-19T13:38:31.100,Agree,Agree
23215,2020-06-29T00:00:00.000,OR,8485,8121.0,364.0,144.0,27.0,204,201.0,3.0,2.0,0.0,2020-06-30T15:27:33.712,Agree,Agree
23216,2020-06-01T00:00:00.000,ME,2377,2118.0,259.0,28.0,3.0,94,93.0,1.0,5.0,0.0,2020-06-02T14:16:17.049,Agree,Agree
23217,2020-10-25T00:00:00.000,ND,38241,38241.0,0.0,522.0,0.0,461,,,5.0,0.0,2020-10-26T13:41:41.106,Agree,Not agree
23218,2020-12-16T00:00:00.000,RI,75237,,,0.0,0.0,1570,,,0.0,0.0,2020-12-17T14:33:42.543,Not agree,
23219,2020-06-09T00:00:00.000,NC,37162,37160.0,2.0,676.0,0.0,1029,1029.0,0.0,23.0,0.0,2021-02-19T13:38:31.100,Agree,Agree
23220,2021-03-24T00:00:00.000,MN,508541,,,1310.0,289.0,6866,6428.0,438.0,9.0,0.0,2021-03-25T14:25:23.209,,Agree
23221,2021-02-02T00:00:00.000,FSM,1,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2021-02-03T14:55:58.025,Agree,Agree
23222,2020-10-05T00:00:00.000,RI,25419,,,343.0,0.0,1121,,,3.0,0.0,2020-10-06T13:33:58.026,Not agree,
23223,2020-03-12T00:00:00.000,ND,1,,,1.0,,0,,,0.0,,2020-03-26T16:22:39.452,Agree,Not agree
23224,2020-06-24T00:00:00.000,IN,43140,,,269.0,0.0,2578,2386.0,192.0,9.0,0.0,2020-06-25T14:07:27.526,Not agree,Agree
23225,2020-08-28T00:00:00.000,WI,78868,73981.0,4887.0,864.0,21.0,1121,1113.0,8.0,2.0,0.0,2020-08-29T13:42:50.366,Agree,Agree
23226,2021-03-01T00:00:00.000,WI,617700,564268.0,53432.0,333.0,25.0,7014,6412.0,602.0,0.0,0.0,2021-03-02T14:54:47.223,Agree,Agree
23227,2021-03-10T00:00:00.000,NV,297147,,,325.0,0.0,5067,,,13.0,0.0,2021-03-11T15:36:21.295,,
